ID,X_mm,Y_mm,Intensity,Classification
95b63d8d-ef36-4872-b820-08ea2fee5c6c,1.2,2.8,0.3996,destructive
f1e8d3f1-42da-4952-b4b5-77cc22f161bb,2.4,2.8,0.3333,destructive
1be57eac-a705-4bd3-9a9a-f784ef71e9a1,2.6,2.8,0.5514,destructive
36f260c7-679d-48b0-9fae-613f976395d9,2.8,2.8,0.5107,destructive
ac7386dc-fa1c-4a46-bb58-9679146c8607,3.4,2.8,0.6396,constructive
493c5c57-1524-4ad8-a797-3fe11795a22c,3.6,2.8,0.7238,constructive
7582ba40-997d-4078-8344-020d571bff33,3.8,2.8,0.5409,constructive
5ca348a0-217f-4394-ae4d-857874852571,4.6,2.8,0.3552,constructive
42ad792e-4bbd-4360-98f7-3f24bf34975b,4.8,2.8,0.3969,constructive
3219b7d6-dcf8-46da-be04-9d8710d9e396,5.4,2.8,0.331,destructive
be8f4603-c0fe-4200-9b2d-8c7201012e6e,6,2.8,0.6298,constructive
3ef0319b-1d56-417b-b43d-100e0d3d66b4,6.2,2.8,0.8277,constructive
d2710be5-f2ca-4326-bf73-f7a70cfa0385,6.4,2.8,0.6676,constructive
d9baa74c-9961-40de-8f56-404cc824f51d,6.6,2.8,0.3109,constructive
51df1ce6-2b49-457a-a550-2745196edb0c,7.4,2.8,0.3277,constructive
1128ed9f-bf7b-4507-9804-39c18490f77f,8.4,2.8,0.5055,constructive
71c4cba2-d3e2-4434-b91b-be60104e9355,8.6,2.8,0.5799,constructive
a2829d8d-6cd5-4286-8b08-8ebd72d1f967,9,2.8,0.4024,destructive
38385352-a8af-43c0-90d1-57570afa2722,9.2,2.8,0.9133,destructive
e7ce4a12-f212-487c-b5b0-6a8e8fac8c18,9.4,2.8,0.9351,destructive
43025ff2-3d8c-4603-9f99-5de54662cfbe,9.6,2.8,0.4507,destructive
4ef96d20-3caf-43c1-96df-6dbab347dd76,10,2.8,0.5754,constructive
f4ed6a87-a8be-4982-9e19-d4b73346cb76,-10,3,0.4774,constructive
9c4a190a-ca9c-42a4-ba7f-86d27d614612,-9.6,3,0.4335,destructive
a7318d0b-036a-4392-9d63-65ecb7c40a0b,-9.4,3,0.8401,destructive
df7e5be5-70f8-409f-aa45-32f81902bd54,-9.2,3,0.7927,destructive
9e05bbe7-3dc8-4ecf-a8c9-0549d8a35f78,-9,3,0.308,destructive
4a5edba3-518d-4c64-8145-8551e69e0b0a,-8.6,3,0.525,constructive
16f24d50-4c97-4083-83f8-faa86203f043,-8.4,3,0.3366,constructive
f706c503-d06b-48b5-912a-caf316f7cac7,-8,3,0.3254,destructive
28368cce-f56a-476b-94d0-1855bbc69a07,-7.4,3,0.4481,constructive
0a82d3bb-b37d-4adb-8ff6-9c8392bb066e,-7.2,3,0.5168,constructive
3ccf6642-ba57-49c7-908e-0987e4f857b4,-7,3,0.3957,constructive
59a16fe3-d816-44a8-8936-ba6e27350ebb,-6.8,3,0.3037,constructive
fcf30741-72b5-49a4-9d41-f3a62b0289df,-6.6,3,0.3942,constructive
818494dc-2df0-4d1c-80d7-e2483a1baf75,-6.4,3,0.6,constructive
8a8c47d6-8652-4f64-a002-ffda06e2779e,-6.2,3,0.6954,constructive
e817017d-597a-4145-8cc6-c9e5658d68c1,-6,3,0.511,constructive
51c314df-ea45-44e3-bf50-5284177b611d,-5.4,3,0.3381,destructive
f580207f-4cca-431f-bb88-ffa52eb1275e,-5,3,0.3667,constructive
6c831f83-4321-40b2-9a08-ed7aaaa7401a,-4.8,3,0.6726,constructive
a2c7716a-3a10-49b2-89d6-c12972268dda,-4.6,3,0.6922,constructive
4d89be05-6c9f-4917-a1d1-20ca638cfeef,-4.4,3,0.4883,constructive
75ab646a-98b7-4899-ab01-5d86d15db438,-3.8,3,0.3191,constructive
f4ab03f5-1ef3-48b3-9ce9-37ddabaae007,-3.6,3,0.4211,constructive
f4d77174-7360-417b-9912-49f982419991,-3.4,3,0.3342,constructive
4f25e66f-d1a0-42f5-83d8-4af245e48416,-3,3,0.4439,destructive
97c0dc0a-a5a6-444f-b326-1742076e856c,-2.8,3,0.7796,destructive
671cb78b-3676-45e1-b80d-adf941a7ee73,-2.6,3,0.8284,destructive
f8a90d34-bba9-4c21-a2d0-a1d93d9065bf,-2.4,3,0.5791,destructive
d5814a4f-2090-48ef-bf96-8a5061a5ac96,-1.2,3,0.4883,destructive
ccc37246-af2a-4868-80c3-25a645776799,-1,3,0.6169,destructive
09a9045d-26d8-438e-9686-25b3eb2d7d07,-0.8,3,0.5714,destructive
da22fd7b-efca-4dc5-87d9-8ad96d9ae30e,-0.6,3,0.3988,destructive
f85ada1f-8bb5-4d97-b822-cbf6981e1240,0.6,3,0.3988,destructive
45d99af0-1c1f-40a2-a2c1-c0aea0472110,0.8,3,0.5714,destructive
865211d9-f8ae-4ffb-bedc-56c1f803b431,1,3,0.6169,destructive
c20d2425-7ef6-460d-8af5-f329d06aed4f,1.2,3,0.4883,destructive
39868838-a7f8-4812-aa7c-1e70cc3f0410,2.4,3,0.5791,destructive
597786fa-2540-4092-9b4c-aed5d768fc5a,2.6,3,0.8284,destructive
a09d9edf-e58b-4d9c-954e-8340572fc9cf,2.8,3,0.7796,destructive
6dd85c43-f745-4492-8cd9-14c3df9dce57,3,3,0.4439,destructive
8a788ab7-beae-40ed-a593-37cf84735b75,3.4,3,0.3342,constructive
