X_mm,Y_mm,Z_mm,Shell,Sensor_ID
1.4946991174309825,-0.40050342144314494,12.605374709137504,OUTER,81
2.2574891638001207,1.1685623794080706,12.442998217501966,OUTER,82
0.7662987662763736,1.3272683969680268,12.607186236556243,OUTER,83
-1.0734221344544672,1.0734221344544672,12.608946420796878,OUTER,84
-1.302303409302692,-0.751885223927476,12.610657177171937,OUTER,85
0.7117045059216646,-1.2327083642320276,12.61998045897866,OUTER,86
1.362764798646361,0.36515172727085393,12.621392011962921,OUTER,87
1.695337207588163,1.695337207588163,12.47163435581457,OUTER,88
8.563254637210356e-17,1.398485611226425,12.62276665375672,OUTER,89
-1.3927680500472932,1.9025565379439195,12.47920172842375,OUTER,90
-1.3391078046199552,0.358812854826131,12.624105656355123,OUTER,91
-2.025933980758106,-1.0487005966811236,12.493431016503443,OUTER,92
-0.6872074527677982,-1.1902782235338145,12.625410237589968,OUTER,93
